,time,energy
0,2019-07-01 12:00:00,0.0
1,2019-07-01 12:15:00,0.0
2,2019-07-01 12:30:00,0.0
3,2019-07-01 12:45:00,0.0
4,2019-07-01 01:00:00,0.0
5,2019-07-01 01:15:00,0.0
6,2019-07-01 01:30:00,0.0
7,2019-07-01 01:45:00,0.0
8,2019-07-01 02:00:00,0.0
9,2019-07-01 02:15:00,0.0
10,2019-07-01 02:30:00,0.0
11,2019-07-01 02:45:00,0.0
12,2019-07-01 03:00:00,0.0
13,2019-07-01 03:15:00,0.0
14,2019-07-01 03:30:00,0.0
15,2019-07-01 03:45:00,0.0
16,2019-07-01 04:00:00,0.0
17,2019-07-01 04:15:00,0.0
18,2019-07-01 04:30:00,0.0
19,2019-07-01 04:45:00,0.0
20,2019-07-01 05:00:00,0.0
21,2019-07-01 05:15:00,0.006999999999999999
22,2019-07-01 05:30:00,0.020032021
23,2019-07-01 05:45:00,0.07276208299999999
24,2019-07-01 06:00:00,0.32451884
25,2019-07-01 06:15:00,0.73307942
26,2019-07-01 06:30:00,0.66774497
27,2019-07-01 06:45:00,0.6685225
28,2019-07-01 07:00:00,0.9828261
29,2019-07-01 07:15:00,1.1163591
30,2019-07-01 07:30:00,1.3224731
31,2019-07-01 07:45:00,1.9235525000000002
32,2019-07-01 08:00:00,2.1770802000000002
33,2019-07-01 08:15:00,2.550368
34,2019-07-01 08:30:00,3.280722
35,2019-07-01 08:45:00,4.099265
36,2019-07-01 09:00:00,5.2193309999999995
37,2019-07-01 09:15:00,5.118138
38,2019-07-01 09:30:00,7.020531
39,2019-07-01 09:45:00,7.097758
40,2019-07-01 10:00:00,10.365753999999999
41,2019-07-01 10:15:00,9.667849
42,2019-07-01 10:30:00,11.343098
43,2019-07-01 10:45:00,11.670827000000001
44,2019-07-01 11:00:00,14.664676
45,2019-07-01 11:15:00,14.267838000000001
46,2019-07-01 11:30:00,15.087779999999999
47,2019-07-01 11:45:00,16.694309
48,2019-07-01 12:00:00,17.328920999999998
49,2019-07-01 12:15:00,15.369973000000002
50,2019-07-01 12:30:00,17.333731
51,2019-07-01 12:45:00,15.281455
52,2019-07-01 01:00:00,14.115607999999998
53,2019-07-01 01:15:00,12.308545
54,2019-07-01 01:30:00,12.075256
55,2019-07-01 01:45:00,10.859461
56,2019-07-01 02:00:00,9.606089
57,2019-07-01 02:15:00,13.668534
58,2019-07-01 02:30:00,9.144411999999999
59,2019-07-01 02:45:00,9.93262
60,2019-07-01 03:00:00,14.299523
61,2019-07-01 03:15:00,12.539154
62,2019-07-01 03:30:00,13.601076
63,2019-07-01 03:45:00,11.711751
64,2019-07-01 04:00:00,11.708461
65,2019-07-01 04:15:00,7.494419000000001
66,2019-07-01 04:30:00,6.903046300000001
67,2019-07-01 04:45:00,6.280183999999999
68,2019-07-01 05:00:00,7.8698929
69,2019-07-01 05:15:00,9.7894324
70,2019-07-01 05:30:00,6.8223648
71,2019-07-01 05:45:00,6.3122504
72,2019-07-01 06:00:00,6.5671137
73,2019-07-01 06:15:00,4.6661747
74,2019-07-01 06:30:00,3.29396336
75,2019-07-01 06:45:00,2.41575441
76,2019-07-01 07:00:00,1.54731565
77,2019-07-01 07:15:00,0.825597719
78,2019-07-01 07:30:00,0.35531503
79,2019-07-01 07:45:00,0.119010731
80,2019-07-01 08:00:00,0.026000000000000002
81,2019-07-01 08:15:00,0.01
82,2019-07-01 08:30:00,0.0
83,2019-07-01 08:45:00,0.0
84,2019-07-01 09:00:00,0.0
