time,temperature,rain,wind_direction(deg),wind_speed(m/s),air_pressure(hPa),sea_pressuer(hPa),humidity(%),solar_radiation(MJ/m^2),solar_energy(Sec),energy
2019-07-01 0:00,23.27142857,0.0,214.67142859999998,1.1714285709999999,997.3785713999999,1003.8785710000001,84.45714286,0.0,0.0,0.0
2019-07-01 0:15,23.27142857,0.0,214.67142859999998,1.1714285709999999,997.3785713999999,1003.8785710000001,84.45714286,0.0,0.0,0.0
2019-07-01 0:30,23.2,0.0,225.4866667,1.306666667,997.2666667000001,1003.766667,84.85333333,0.0,0.0,0.0
2019-07-01 0:45,23.2,0.0,223.14,0.6466666670000001,997.2,1003.7,85.28,0.0,0.0,0.0
2019-07-01 1:00,23.2,0.0,252.06666669999998,1.0533333329999999,997.2,1003.7,85.56,0.0,0.0,0.0
2019-07-01 1:15,23.2,0.0,230.93333330000002,0.973333333,997.1333332999999,1003.633333,85.74,0.0,0.0,0.0
2019-07-01 1:30,23.14,0.0,218.11333330000002,0.9,997.0266667000001,1003.526667,85.89333333,0.0,0.0,0.0
2019-07-01 1:45,23.13333333,0.0,255.5333333,1.3666666669999998,997.16,1003.66,86.08,0.0,0.0,0.0
2019-07-01 2:00,23.13333333,0.0,251.83333330000002,0.94,997.08,1003.58,86.18666667,0.0,0.0,0.0
2019-07-01 2:15,23.1,0.0,248.3733333,1.36,996.9666667000001,1003.466667,86.14666667,0.0,0.0,0.0
2019-07-01 2:30,23.1,0.0,235.2,1.233333333,996.8666667000001,1003.366667,86.26666667,0.0,0.0,0.0
2019-07-01 2:45,23.0,0.0,234.0333333,0.726666667,996.9933332999999,1003.493333,86.7,0.0,0.0,0.0
2019-07-01 3:00,23.02,0.0,253.5266667,1.253333333,997.0,1003.5,86.69333333,0.0,0.0,0.0
2019-07-01 3:15,23.0,0.0,246.36,1.3866666669999999,997.0133332999999,1003.513333,86.77333333,0.0,0.0,0.0
2019-07-01 3:30,22.88666667,0.0,239.6933333,1.013333333,997.04,1003.54,87.1,0.0,0.0,0.0
2019-07-01 3:45,22.73333333,0.0,252.3266667,1.4,997.06,1003.56,87.57333333,0.0,0.0,0.0
2019-07-01 4:00,22.7,0.0,257.0133333,0.88,997.3333332999998,1003.833333,87.89333333,0.0,0.0,0.0
2019-07-01 4:15,22.66666667,0.0,239.05333330000002,0.7666666670000001,997.18,1003.68,88.22,0.0,0.0,0.0
2019-07-01 4:30,22.58,0.0,221.78666669999998,0.706666667,997.1933332999998,1003.693333,88.72666667,0.0,0.0,0.0
2019-07-01 4:45,22.5,0.0,252.24,1.033333333,997.3933332999999,1003.893333,89.25333333,0.0,0.0,0.0
2019-07-01 5:00,22.29333333,0.0,261.79333330000003,1.48,997.5133332999999,1004.013333,89.72,0.0,0.0,0.0
2019-07-01 5:15,22.2,0.0,260.42,0.966666667,997.64,1004.14,90.3,0.004,0.0,0.006999999999999999
2019-07-01 5:30,22.2,0.0,252.5866667,1.113333333,997.9466667000002,1004.446667,90.58666667,0.006,0.0,0.020032021
2019-07-01 5:45,22.2,0.0,262.97333330000004,1.233333333,998.1333332999999,1004.633333,90.58666667,0.009333333000000001,0.0,0.07276208299999999
2019-07-01 6:00,22.27333333,0.0,259.86,0.74,998.14,1004.64,90.02,0.030666667,0.0,0.32451884
2019-07-01 6:15,22.42666667,0.0,226.6933333,0.48666666700000005,998.14,1004.64,89.42,0.046666666999999995,0.0,0.73307942
2019-07-01 6:30,22.58666667,0.0,228.0333333,1.046666667,998.1266667000001,1004.626667,88.54,0.07933333300000002,0.0,0.66774497
