time,hour,day,temperature,wind_speed(m/s),humidity(%),solar_radiation(MJ/m^2),energy
2019-07-01 0:00,0,182,23.27142857,1.171428571,84.45714286,0.0,0.0
2019-07-01 0:15,0,182,23.27142857,1.171428571,84.45714286,0.0,0.0
2019-07-01 0:30,0,182,23.2,1.306666667,84.85333333,0.0,0.0
2019-07-01 0:45,0,182,23.2,0.6466666670000001,85.28,0.0,0.0
2019-07-01 1:00,1,182,23.2,1.053333333,85.56,0.0,0.0
2019-07-01 1:15,1,182,23.2,0.973333333,85.74,0.0,0.0
2019-07-01 1:30,1,182,23.14,0.9,85.89333333,0.0,0.0
2019-07-01 1:45,1,182,23.13333333,1.3666666669999998,86.08,0.0,0.0
2019-07-01 2:00,2,182,23.13333333,0.94,86.18666667,0.0,0.0
2019-07-01 2:15,2,182,23.1,1.36,86.14666667,0.0,0.0
2019-07-01 2:30,2,182,23.1,1.233333333,86.26666667,0.0,0.0
2019-07-01 2:45,2,182,23.0,0.726666667,86.7,0.0,0.0
2019-07-01 3:00,3,182,23.02,1.253333333,86.69333333,0.0,0.0
2019-07-01 3:15,3,182,23.0,1.386666667,86.77333333,0.0,0.0
2019-07-01 3:30,3,182,22.88666667,1.013333333,87.1,0.0,0.0
2019-07-01 3:45,3,182,22.73333333,1.4,87.57333333,0.0,0.0
2019-07-01 4:00,4,182,22.7,0.88,87.89333333,0.0,0.0
2019-07-01 4:15,4,182,22.66666667,0.7666666670000001,88.22,0.0,0.0
2019-07-01 4:30,4,182,22.58,0.706666667,88.72666667,0.0,0.0
2019-07-01 4:45,4,182,22.5,1.033333333,89.25333333,0.0,0.0
2019-07-01 5:00,5,182,22.29333333,1.48,89.72,0.0,0.0
2019-07-01 5:15,5,182,22.2,0.966666667,90.3,0.004,0.006999999999999999
2019-07-01 5:30,5,182,22.2,1.113333333,90.58666667,0.006,0.020032021
2019-07-01 5:45,5,182,22.2,1.233333333,90.58666667,0.009333333,0.07276208299999999
2019-07-01 6:00,6,182,22.27333333,0.74,90.02,0.030666667,0.32451884
2019-07-01 6:15,6,182,22.42666667,0.4866666670000001,89.42,0.046666667,0.73307942
2019-07-01 6:30,6,182,22.58666667,1.046666667,88.54,0.07933333300000002,0.66774497
2019-07-01 6:45,6,182,22.55333333,1.033333333,88.21333333,0.057999999999999975,0.6685225
2019-07-01 7:00,7,182,22.6,0.78,87.80666667,0.058,0.9828261
2019-07-01 7:15,7,182,22.66666667,1.026666667,87.16666667,0.048000000000000036,1.1163591
2019-07-01 7:30,7,182,22.69333333,1.033333333,87.16666667,0.051333332999999925,1.3224731
2019-07-01 7:45,7,182,22.70666667,0.72,86.08,0.07933333400000009,1.9235525
2019-07-01 8:00,8,182,22.87333333,0.3666666670000001,84.76666667,0.10066666599999996,2.1770802
2019-07-01 8:15,8,182,22.91333333,0.666666667,83.04,0.09466666699999993,2.550368
2019-07-01 8:30,8,182,23.14,0.34666666700000004,82.6,0.12266666700000005,3.280722
2019-07-01 8:45,8,182,23.49333333,0.88,81.31333333,0.1920000000000001,4.099265
2019-07-01 9:00,9,182,23.55333333,1.486666667,79.55333333,0.19000000000000009,5.219331
2019-07-01 9:15,9,182,23.72666667,1.573333333,79.39333333,0.20266666600000005,5.118138
2019-07-01 9:30,9,182,23.72666667,1.353333333,79.95333333,0.24666666699999995,7.020531
2019-07-01 9:45,9,182,24.18666667,1.08,75.25333333,0.2853333330000001,7.097758
2019-07-01 10:00,10,182,24.08666667,1.733333333,74.0,0.254666667,10.365754
2019-07-01 10:15,10,182,24.14,1.666666667,72.82666667,0.2486666669999997,9.667849
2019-07-01 10:30,10,182,24.24,1.3466666669999998,70.60666667,0.2373333330000005,11.343098
2019-07-01 10:45,10,182,24.36666667,1.326666667,65.82666667,0.3353333329999999,11.670827
2019-07-01 11:00,11,182,24.43333333,1.353333333,65.56666667,0.36466666699999983,14.664676
2019-07-01 11:15,11,182,24.85333333,1.3,66.48666667,0.4226666669999997,14.267838
2019-07-01 11:30,11,182,25.38,1.186666667,64.09333333,0.4400000000000004,15.08778
2019-07-01 11:45,11,182,25.34,1.493333333,62.24666667,0.5393333330000001,16.694309
2019-07-01 12:00,12,182,25.92,1.553333333,61.63333333,0.6886666670000006,17.328920999999998
2019-07-01 12:15,12,182,26.24,1.84,59.52666667,0.7066666659999985,15.369973000000002
2019-07-01 12:30,12,182,26.57333333,1.773333333,56.58666667,0.6413333340000014,17.333731
2019-07-01 12:45,12,182,26.44,1.72,57.86666667,0.5439999999999996,15.281455
2019-07-01 13:00,13,182,26.96,1.646666667,56.38,0.7020000000000001,14.115607999999998
2019-07-01 13:15,13,182,26.44666667,1.706666667,58.69333333,0.4120000000000008,12.308545
2019-07-01 13:30,13,182,26.62,1.253333333,58.95333333,0.3766666659999984,12.075256
2019-07-01 13:45,13,182,26.45333333,1.873333333,59.63333333,0.3393333340000009,10.859461
2019-07-01 14:00,14,182,26.50666667,1.706666667,59.85333333,0.3113333330000003,9.606089
2019-07-01 14:15,14,182,26.89333333,1.6733333330000002,58.37333333,0.3946666669999992,13.668534
2019-07-01 14:30,14,182,26.89333333,2.166666667,58.0,0.4220000030000009,9.144412
2019-07-01 14:45,14,182,26.7,1.8,59.11333333,0.29733333000000073,9.93262
2019-07-01 15:00,15,182,26.96,1.64,59.85333333,0.41000000000000014,14.299523
2019-07-01 15:15,15,182,27.41333333,1.6333333330000002,58.34,0.5693333299999992,12.539154
2019-07-01 15:30,15,182,27.63333333,1.6933333330000002,54.64666667,0.4973333399999991,13.601076
2019-07-01 15:45,15,182,27.45333333,1.753333333,53.03333333,0.39133333000000015,11.711751
2019-07-01 16:00,16,182,27.59333333,2.113333333,52.43333333,0.4213333299999995,11.708461
2019-07-01 16:15,16,182,27.6,1.82,52.6,0.3446666700000005,7.4944190000000015
2019-07-01 16:30,16,182,27.24,1.94,53.20666667,0.2446666700000009,6.9030463000000015
2019-07-01 16:45,16,182,27.33333333,1.806666667,52.42666667,0.2533333299999985,6.280183999999998
2019-07-01 17:00,17,182,27.24,1.826666667,55.44,0.2740000000000009,7.8698929
2019-07-01 17:15,17,182,26.92666667,2.12,61.77333333,0.3059999999999992,9.7894324
2019-07-01 17:30,17,182,27.28,2.24,60.88666667,0.39000000000000057,6.8223648
2019-07-01 17:45,17,182,26.86666667,2.153333333,59.19333333,0.19599999999999973,6.3122504
2019-07-01 18:00,18,182,27.1,2.0733333330000003,55.4,0.20800000000000016,6.5671137
2019-07-01 18:15,18,182,27.39333333,2.333333333,55.54666667,0.3206666699999996,4.6661747
2019-07-01 18:30,18,182,27.18,2.333333333,56.62,0.25333333000000197,3.29396336
2019-07-01 18:45,18,182,26.9,2.026666667,58.43333333,0.18599999999999814,2.41575441
2019-07-01 19:00,19,182,26.81333333,1.62,59.64666667,0.13200000000000145,1.54731565
2019-07-01 19:15,19,182,26.46,1.873333333,59.3,0.08399999999999785,0.825597719
2019-07-01 19:30,19,182,26.07333333,2.113333333,60.14,0.048666669999999364,0.35531503
2019-07-01 19:45,19,182,25.72666667,1.826666667,60.82666667,0.02000000000000313,0.119010731
2019-07-01 20:00,20,182,25.52,1.766666667,61.05333333,0.013999999999999345,0.026
2019-07-01 20:15,20,182,25.2,1.326666667,61.56666667,0.013333329999998256,0.01
2019-07-01 20:30,20,182,24.91333333,1.226666667,62.61333333,0.008000000000002672,0.0
2019-07-01 20:45,20,182,24.64666667,1.533333333,63.54,0.0,0.0
2019-07-01 21:00,21,182,24.38,1.42,64.33333333,0.009999999999998009,0.0
2019-07-01 21:15,21,182,24.16,1.046666667,65.1,0.0,0.0
2019-07-01 21:30,21,182,24.01333333,0.8666666670000001,65.70666667,0.0,0.0
2019-07-01 21:45,21,182,23.79333333,1.473333333,66.28,0.0,0.0
2019-07-01 22:00,22,182,23.44666667,1.34,67.67333333,0.0,0.0
2019-07-01 22:15,22,182,23.18,1.406666667,68.78,0.0,0.0
2019-07-01 22:30,22,182,22.94,1.4,69.72666667,0.0,0.0
2019-07-01 22:45,22,182,22.7,1.4333333330000002,70.78,0.0,0.0
2019-07-01 23:00,23,182,22.61333333,0.913333333,71.42666667,0.0,0.0
2019-07-01 23:15,23,182,22.28666667,1.2,72.28666667,0.0,0.0
2019-07-01 23:30,23,182,22.19333333,1.246666667,72.49333333,0.0,0.0
2019-07-01 23:45,23,182,22.02666667,0.96,72.66,0.0,0.0
2019-07-02 0:00,0,183,21.84666667,0.953333333,73.20666667,0.0,0.0
2019-07-02 0:15,0,183,21.71333333,0.566666667,73.72666667,0.0,0.0
2019-07-02 0:30,0,183,21.52,0.686666667,74.2,0.0,0.0
2019-07-02 0:45,0,183,21.34,0.653333333,74.74666667,0.0,0.0
2019-07-02 1:00,1,183,21.23333333,0.673333333,74.96666667,0.0,0.0
2019-07-02 1:15,1,183,21.12,0.553333333,75.35333333,0.0,0.0
2019-07-02 1:30,1,183,20.88666667,0.42,75.88,0.0,0.0
2019-07-02 1:45,1,183,20.7,0.29333333300000003,76.5,0.0,0.0
2019-07-02 2:00,2,183,20.65333333,0.673333333,77.06666667,0.0,0.0
2019-07-02 2:15,2,183,20.6,0.473333333,77.29333333,0.0,0.0
2019-07-02 2:30,2,183,20.39333333,0.313333333,78.11333333,0.0,0.0
2019-07-02 2:45,2,183,20.25333333,0.29333333300000003,79.14666667,0.0,0.0
2019-07-02 3:00,3,183,20.24,0.38,79.02666667,0.0,0.0
2019-07-02 3:15,3,183,20.09333333,1.14,80.38666667,0.0,0.0
2019-07-02 3:30,3,183,19.78666667,1.133333333,81.79333333,0.0,0.0
2019-07-02 3:45,3,183,19.68,0.806666667,82.00666667,0.0,0.0
2019-07-02 4:00,4,183,19.6,1.066666667,81.69333333,0.0,0.0
2019-07-02 4:15,4,183,19.54666667,0.62,81.44,0.0,0.0
2019-07-02 4:30,4,183,19.26666667,0.466666667,81.96,0.0,0.0
2019-07-02 4:45,4,183,19.18666667,0.12666666699999998,82.44666667,0.0,0.0
2019-07-02 5:00,5,183,19.17333333,0.326666667,81.72,0.0,0.0
2019-07-02 5:15,5,183,19.1,0.64,81.86666667,0.0,0.002
2019-07-02 5:30,5,183,19.01333333,0.62,81.99333333,0.0,0.031032021
2019-07-02 5:45,5,183,19.0,0.106666667,82.31333333,0.003333333,0.173762083
2019-07-02 6:00,6,183,19.02,0.286666667,82.62,0.030666667,0.42851884
2019-07-02 6:15,6,183,19.13333333,0.44,81.84,0.058666666999999985,0.92807942
2019-07-02 6:30,6,183,19.36,0.566666667,81.13333333,0.08800000000000001,1.55174497
2019-07-02 6:45,6,183,19.59333333,0.893333333,79.91333333,0.122,2.1815225
2019-07-02 7:00,7,183,19.84,0.686666667,79.43333333,0.12266666599999998,3.1128261000000004
2019-07-02 7:15,7,183,20.16,1.04,78.15333333,0.16800000000000004,3.9593591
2019-07-02 7:30,7,183,20.52666667,1.3466666669999998,77.01333333,0.244,4.9514731
2019-07-02 7:45,7,183,20.9,1.533333333,75.23333333,0.3226666669999999,5.3585525
2019-07-02 8:00,8,183,21.10666667,1.613333333,73.3,0.3540000000000001,6.4960802000000015
2019-07-02 8:15,8,183,21.56666667,1.746666667,72.69333333,0.4026666669999999,7.664368
2019-07-02 8:30,8,183,21.93333333,1.6,72.64666667,0.4526666660000003,8.777722
2019-07-02 8:45,8,183,22.52,1.5,71.39333333,0.5066666670000002,8.726265
2019-07-02 9:00,9,183,22.19333333,1.066666667,72.74666667,0.3546666669999996,10.283331
2019-07-02 9:15,9,183,22.85333333,0.906666667,71.25333333,0.42200000000000015,11.071138
2019-07-02 9:30,9,183,23.19333333,1.186666667,68.9,0.5033333330000005,11.727531
2019-07-02 9:45,9,183,23.49333333,1.54,68.30666667,0.4933333329999998,12.610758
2019-07-02 10:00,10,183,24.08666667,1.193333333,65.38,0.7079999999999993,11.902311
