,day,hour,temperature,wind_speed(m/s),humidity(%),solar_radiation(MJ/m^2),energy,time
0,182,0,23.23571429,1.0740476190000001,84.76190476,0.0,0.0,2019-07-01 00:00
1,182,1,23.16833333,1.073333333,85.81833333,0.0,0.0,2019-07-01 01:00
2,182,2,23.08333333,1.065,86.325,0.0,0.0,2019-07-01 02:00
3,182,3,22.91,1.263333333,87.035,0.0,0.0,2019-07-01 03:00
4,182,4,22.61166667,0.846666667,88.52333333,0.0,0.0,2019-07-01 04:00
5,182,5,22.22333333,1.198333333,90.29833334,0.019333333,0.09979410400000001,2019-07-01 05:00
6,182,6,22.46,0.826666667,89.04833333,0.214666667,2.39386573,2019-07-01 06:00
7,182,7,22.66666667,0.89,87.055,0.236666667,5.3452108,2019-07-01 07:00
8,182,8,23.105,0.565,82.93,0.51,12.1074352,2019-07-01 08:00
9,182,9,23.79833334,1.3733333330000002,78.53833333,0.9246666659999999,24.455758,2019-07-01 09:00
10,182,10,24.20833334,1.5183333330000002,70.815,1.0759999999999998,43.047528,2019-07-01 10:00
11,182,11,25.00166667,1.333333333,64.59833334,1.766666667,60.714603000000004,2019-07-01 11:00
12,182,12,26.29333333,1.7216666669999998,58.90333334,2.580666667,65.31408,2019-07-01 12:00
13,182,13,26.62,1.62,58.415,1.83,49.35887,2019-07-01 13:00
14,182,14,26.74833333,1.8366666669999998,58.835,1.4253333330000002,42.351655,2019-07-01 14:00
15,182,15,27.365,1.68,56.46833333,1.868,52.151503999999996,2019-07-01 15:00
16,182,16,27.44166667,1.92,52.66666667,1.264,32.3861103,2019-07-01 16:00
17,182,17,27.07833334,2.085,59.32333333,1.166,30.7939405,2019-07-01 17:00
18,182,18,27.14333333,2.191666667,56.5,0.968,16.94300617,2019-07-01 18:00
19,182,19,26.26833333,1.858333333,59.97833334,0.28466667,2.84723913,2019-07-01 19:00
20,182,20,25.07,1.463333333,62.19333333,0.03533333,0.036000000000000004,2019-07-01 20:00
21,182,21,24.08666667,1.201666667,65.355,0.01,0.0,2019-07-01 21:00
22,182,22,23.06666667,1.395,69.24,0.0,0.0,2019-07-01 22:00
23,182,23,22.28,1.08,72.21666667,0.0,0.0,2019-07-01 23:00
24,183,0,21.605,0.715,73.97,0.0,0.0,2019-07-02 00:00
25,183,1,20.985,0.485,75.675,0.0,0.0,2019-07-02 01:00
26,183,2,20.475,0.438333333,77.905,0.0,0.0,2019-07-02 02:00
27,183,3,19.95,0.865,80.80333334,0.0,0.0,2019-07-02 03:00
28,183,4,19.4,0.57,81.885,0.0,0.0,2019-07-02 04:00
29,183,5,19.07166667,0.423333334,81.97333333,0.003333333,0.20679410399999998,2019-07-02 05:00
30,183,6,19.27666667,0.546666667,81.37666667,0.299333334,5.08986573,2019-07-02 06:00
31,183,7,20.35666667,1.151666667,77.45833333,0.8573333329999999,17.3822108,2019-07-02 07:00
32,183,8,21.78166667,1.615,72.50833333,1.716,31.6644352,2019-07-02 08:00
33,183,9,22.93333333,1.175,70.30166667,1.773333333,45.692758000000005,2019-07-02 09:00
34,183,10,24.23666667,1.233333333,63.41666667,2.106666667,58.460529,2019-07-02 10:00
35,183,11,25.46166667,1.403333334,56.86666667,2.793333333,65.771603,2019-07-02 11:00
36,183,12,26.66666667,1.54,53.45,2.9386666669999997,76.64108,2019-07-02 12:00
37,183,13,27.97833333,1.6833333330000002,49.04833334,3.09533333,78.01187,2019-07-02 13:00
38,183,14,29.05833333,1.7283333330000001,43.035,3.23066667,78.28065500000001,2019-07-02 14:00
39,183,15,29.795,1.6733333330000002,40.465,2.7960000000000003,67.853504,2019-07-02 15:00
40,183,16,29.28833333,1.525,42.65166667,1.53266667,53.2111103,2019-07-02 16:00
41,183,17,29.59333333,1.3966666669999999,42.54666667,1.626,33.3449405,2019-07-02 17:00
42,183,18,28.72833334,2.2833333330000003,47.53833334,0.894,14.56300617,2019-07-02 18:00
43,183,19,26.73666667,2.113333334,55.71666667,0.27133333,2.58123913,2019-07-02 19:00
44,183,20,25.77333334,1.173333333,60.42166667,0.02266667,0.037000000000000005,2019-07-02 20:00
45,183,21,25.30833333,1.24,62.24666667,0.00333333,0.0,2019-07-02 21:00
46,183,22,24.20666667,1.345,67.565,0.0,0.0,2019-07-02 22:00
47,183,23,23.225,0.8583333329999999,75.01333334,0.0,0.0,2019-07-02 23:00
48,184,0,22.73833334,0.938333333,77.82333333,0.0,0.0,2019-07-03 00:00
49,184,1,22.285,0.685,80.57166667,0.0,0.0,2019-07-03 01:00
50,184,2,21.95333333,0.37,81.765,0.0,0.0,2019-07-03 02:00
51,184,3,21.46166667,0.38833333299999995,83.60833333,0.0,0.0,2019-07-03 03:00
